size,count
29585,1
29622,2
29632,2
29633,1
29643,2
29653,1
29669,1
29711,1
29725,1
29727,1
29735,1
29747,1
29749,1
29754,1
29775,1
29781,1
29797,1
29803,1
29809,1
29810,1
29848,2
29852,1
29870,1
29877,1
29884,2
29887,1
29909,1
29913,1
29915,1
29916,1
29923,1
29930,1
29961,1
29967,1
29988,2
30023,1
30031,2
30032,1
30034,1
30035,1
30049,1
30075,1
30076,1
30084,1
30090,1
30091,1
30110,2
30125,1
30129,1
30141,1
30153,1
30191,2
30215,1
30227,1
30247,1
30265,1
30270,2
30273,1
30276,1
30299,1
30319,1
30342,1
30352,1
30359,2
30373,1
30399,1
30410,1
30414,1
30417,1
30434,1
30462,1
30464,4
30498,1
30560,1
30574,1
30584,2
30587,2
30598,1
30624,2
30633,1
30651,1
30654,1
30662,3
30674,1
30681,1
30722,1
30759,1
30787,1
30788,1
30832,1
30839,3
30884,1
30888,1
30896,1
30901,1
30910,2
30911,3
30926,1
30934,1
30959,1
30964,1
30985,1
31006,1
31023,1
31031,1
31038,1
31052,1
31054,1
31072,1
31091,1
31101,1
31128,1
31129,1
31152,1
31184,1
31206,1
31211,1
31212,1
31225,1
31244,1
31272,1
31282,1
31287,1
31311,1
31312,1
31315,1
31328,1
31333,1
31348,1
31356,3
31360,3
31389,1
31391,1
31403,2
31429,1
31431,1
31432,1
31439,1
31469,1
31477,1
31494,1
31500,1
31517,1
31569,1
31576,3
31599,1
31610,1
31613,1
31615,4
31631,1
31679,2
31692,1
31699,3
31700,1
31713,2
31767,1
31770,1
31774,1
31790,2
31810,1
31819,2
31821,2
31824,1
31848,1
31852,1
31870,1
31877,1
31881,1
31928,1
31934,1
31947,1
31948,2
31984,1
31990,1
32028,1
32035,1
32048,1
32053,2
32057,1
32089,1
32119,2
32129,1
32150,1
32170,1
32182,1
32188,1
32203,1
32211,1
32212,1
32217,2
32247,1
32248,1
32253,1
32278,1
32281,1
32301,1
32333,3
32355,1
32361,1
32378,1
32383,1
32417,1
32439,3
32479,1
32515,1
32569,1
32595,1
32606,1
32633,1
32658,1
32666,1
32674,3
32688,2
32691,3
32694,1
32695,3
32703,1
32704,1
32719,1
32733,1
32738,1
32749,2
32764,1
16,24865
512,5370
1040,96
3,6399
4,3767
5,1982
6,5089
8,13484
18,1645
19,1422
20,28480
21,1035
23,999
25,1015
26,618
27,848
28,1964
29,615
30,779
31,1110
32,22647
33,789
34,671
35,1142
36,2638
37,660
38,569
39,524
41,520
43,354
44,763
46,482
47,414
49,528
50,425
52,1141
53,584
54,463
55,362
56,20654
57,542
58,372
61,476
62,426
64,48163
65,346
71,237
74,165
81,274
84,160
85,174
86,125
87,114
88,423
89,126
91,107
92,87
93,89
94,79
95,50
96,274
97,71
98,56
99,93
100,204
101,91
102,74
103,54
104,247
105,147
109,72
110,102
111,44
112,492
114,82
115,54
116,189
117,67
118,65
122,58
123,53
124,74
125,72
126,90
127,58
128,10324
129,59
130,51
131,64
132,77
133,76
134,5177
135,55
136,203
137,65
138,77
140,58
141,80
142,55
144,157
145,72
146,78
149,66
152,207
153,46
154,58
156,61
157,66
158,38
161,84
162,52
163,39
164,41
165,71
166,52
167,42
168,178
170,44
176,164
184,114
192,299
200,575
208,128
211,38
216,126
223,41
224,234
240,151
247,46
248,125
254,44
256,577
288,211
300,46
304,102
312,126
320,312
344,128
352,230
360,120
394,31
404,53
414,41
432,123
472,168
488,141
496,119
522,32
537,28
568,267
776,132
788,44
880,115
952,128
1024,1394
1032,44
1056,198
1173,33
1181,35
1182,43
1208,41
1212,38
1214,45
1217,37
1218,30
1221,26
1222,43
1223,28
1224,42
1225,37
1472,151
1552,34
1600,142
2048,209
2056,65
2064,30
2080,163
2104,38
3144,33
32640,8
32808,27
364,252
380,55
800,221
4095,9656
8190,4800
45,712
51,444
59,333
60,581
66,249
67,270
68,1435
69,259
70,187
73,194
75,617
76,184
77,277
79,185
82,161
83,96
107,51
108,86
113,108
139,67
228,59
480,238
592,140
688,131
744,114
1254,46
1264,38
2200,53
8192,30
249,42
264,131
267,49
268,44
278,35
341,48
441,49
446,62
600,5070
784,119
834,45
968,111
988,48
992,224
1000,132
1200,54
4080,49
8056,8
640,228
768,205
896,210
1152,139
1280,144
1408,138
1536,151
1664,145
1792,143
1920,156
2176,146
2304,141
2432,151
2560,132
2688,130
2816,140
2944,131
3072,157
3200,141
3328,29
3456,34
3584,26
3712,33
3840,46
3968,28
4096,76
4224,3
4352,4
4480,2
4608,2
4736,2
4864,2
5120,2
5248,2
5376,2
